"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1991-10-31,"None",9239,77.6386554621849,10,195.066600147468,0,NA,NA,NA,0,NA,NA,NA,9239,77.6386554621849,10,195.066600147468
1991-10-31,"P5",1610,100.625,22,218.897807206925,0,NA,NA,NA,0,NA,NA,NA,1610,100.625,22,218.897807206925
1991-11-30,"A3",47,9.4,9,5.89915248150105,10,10,10,NA,0,NA,NA,NA,57,11.4,9,9.09945053286186
1991-11-30,"G4",103,11.4444444444444,11,7.89162706783448,10,10,10,NA,0,NA,NA,NA,113,12.5555555555556,11,10.8294864964955
1991-11-30,"None",9321,69.0444444444445,8,185.088880088292,126,11.4545454545455,10,3.83049961137281,0,NA,NA,NA,9447,68.956204379562,8,183.645873602893
1991-11-30,"P5",1738,82.7619047619048,20,193.87493514168,9,9,9,NA,0,NA,NA,NA,1747,79.4090909090909,20,189.854997072555
1991-12-31,"A3",47,9.4,9,5.89915248150105,10,10,10,NA,0,NA,NA,NA,57,11.4,9,9.09945053286186
1991-12-31,"G4",86,10.75,9,8.64787339672097,10,10,10,NA,0,NA,NA,NA,96,12,9,11.8079876112982
1991-12-31,"None",9308,71.0534351145038,8,187.187537100635,126,11.4545454545455,10,3.83049961137281,0,NA,NA,NA,9434,70.9323308270677,8,185.686694236544
1991-12-31,"P5",1695,84.75,20,198.172671917035,9,9,9,NA,0,NA,NA,NA,1704,81.1428571428571,20,193.860848474953
1992-01-31,"A3",44,8.8,9,5.3103672189407,10,10,10,NA,0,NA,NA,NA,54,10.8,9,8.8994381845148
1992-01-31,"G4",131,14.5555555555556,11,11.3480296870328,10,10,10,NA,0,NA,NA,NA,141,15.6666666666667,11,12.9807549857472
1992-01-31,"None",9565,73.5769230769231,8.5,187.382412343249,116,11.6,10,4.00555170287995,0,NA,NA,NA,9681,73.3409090909091,9,185.935342514848
1992-01-31,"P5",1724,82.0952380952381,20,193.701291880541,9,9,9,NA,0,NA,NA,NA,1733,78.7727272727273,20,189.674390624761
