"","Date","Mission","Male","Male.mean","Male.med","Male.sd","Female","Female.mean","Female.med","Female.sd","Total","Total.mean","Total.med","Total.sd","female.perc"
"1",2009-11-30,"BINUB",17,1.41666666666667,1,0.514928650544437,0,0,0,0,17,1.41666666666667,1,0.514928650544437,0
"2",2009-11-30,"MINURCAT",2891,65.7045454545455,14.5,110.750416986029,141,3.20454545454545,0,7.79856738619059,3032,68.9090909090909,15,114.238595315329,0.0465039577836412
"3",2009-11-30,"MINURSO",229,7.89655172413793,5,6.88862845350534,13,0.448275862068966,0,1.21261838587154,242,8.3448275862069,7,7.48463121559757,0.0537190082644628
"4",2009-11-30,"MINUSTAH",8837,188.021276595745,41,345.712716205466,228,4.85106382978723,1,9.36918799183109,9065,192.872340425532,42,351.023263010927,0.0251516822945394
"5",2009-11-30,"MONUC",19796,347.298245614035,19,853.867461380284,459,8.05263157894737,0,26.1816600563881,20255,355.350877192982,20,860.675347188558,0.0226610713404098
"6",2009-11-30,"UNAMA",22,1.15789473684211,1,0.374634324632678,1,0.0526315789473684,0,0.229415733870562,23,1.21052631578947,1,0.535303379031311,0.0434782608695652
"7",2009-11-30,"UNAMI",231,28.875,1.5,77.6318003692522,0,0,0,0,231,28.875,1.5,77.6318003692522,0
"8",2009-11-30,"UNAMID",18831,362.134615384615,33.5,785.848187425689,757,14.5576923076923,1,38.9607210252253,19588,376.692307692308,35.5,811.63250010937,0.0386461098631815
"9",2009-11-30,"UNDOF",1020,145.714285714286,91,155.841494566022,30,4.28571428571429,1,5.37631490007439,1050,150,97,160.591614559001,0.0285714285714286
"10",2009-11-30,"UNFICYP",851,42.55,6,81.712251867533,73,3.65,0.5,7.65214108324557,924,46.2,7.5,88.0135157084889,0.079004329004329
"11",2009-11-30,"UNIFIL",11669,402.379310344828,135,533.102939255042,464,16,5,29.6298594567806,12133,418.379310344828,157,557.64584343426,0.0382428088683755
"12",2009-11-30,"UNMIK",16,1.33333333333333,1,0.492365963917331,0,0,0,0,16,1.33333333333333,1,0.492365963917331,0
"13",2009-11-30,"UNMIL",10904,178.754098360656,5,543.41520821982,443,7.26229508196721,0,21.6809452740913,11347,186.016393442623,7,551.918638080025,0.039041156252754
"14",2009-11-30,"UNMIN",68,3.77777777777778,4,2.21108319357027,4,0.222222222222222,0,0.942809041582063,72,4,4,2,0.0555555555555556
"15",2009-11-30,"UNMIS",9741,145.388059701493,11,439.63386816428,214,3.19402985074627,0,7.15465266287387,9955,148.582089552239,12,442.550635666588,0.02149673530889
"16",2009-11-30,"UNMIT",1523,35.4186046511628,13,57.6525853540554,57,1.32558139534884,0,1.79577454084592,1580,36.7441860465116,13,58.4168489325011,0.0360759493670886
"17",2009-11-30,"UNMOGIP",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
"18",2009-11-30,"UNOCI",8256,147.428571428571,5,414.407522621386,133,2.375,0,7.87530663183692,8389,149.803571428571,5.5,416.286501851041,0.015854094647753
"19",2009-11-30,"UNTSO",142,6.17391304347826,5,4.09714062058189,9,0.391304347826087,0,0.940943937793929,151,6.56521739130435,7,4.24077701881626,0.0596026490066225
"20",2009-12-31,"BINUB",15,1.36363636363636,1,0.504524979109513,0,0,0,0,15,1.36363636363636,1,0.504524979109513,0
"21",2009-12-31,"MINURCAT",2674,59.4222222222222,12,122.309311488405,103,2.28888888888889,0,6.50392267028215,2777,61.7111111111111,13,124.385146406091,0.0370903853078862
"22",2009-12-31,"MINURSO",219,7.55172413793103,5,6.02723702926113,13,0.448275862068966,0,1.21261838587154,232,8,6,6.57375735133917,0.0560344827586207
"23",2009-12-31,"MINUSTAH",8830,187.872340425532,37,346.323461334184,227,4.82978723404255,1,9.24854665183335,9057,192.702127659574,40,351.492712206818,0.0250634868057856
"24",2009-12-31,"MONUC",20075,358.482142857143,20,862.110053954755,434,7.75,0,25.3744681986369,20509,366.232142857143,22,868.597573753156,0.0211614413184456
"25",2009-12-31,"UNAMA",19,1.1875,1,0.403112887414928,1,0.0625,0,0.25,20,1.25,1,0.577350269189626,0.05
"26",2009-12-31,"UNAMI",232,29,2,77.581293768905,0,0,0,0,232,29,2,77.581293768905,0
"27",2009-12-31,"UNAMID",19207,384.14,44.5,801.176456652264,742,14.84,1.5,38.0275732400927,19949,398.98,45.5,825.981950931923,0.0371948468594917
"28",2009-12-31,"UNDOF",1014,144.857142857143,89,154.912263955471,29,4.14285714285714,1,5.17779140266618,1043,149,95,159.413508419665,0.0278044103547459
"29",2009-12-31,"UNFICYP",849,42.45,5.5,81.7508892596089,72,3.6,0.5,7.4508918576023,921,46.05,7,87.9284846966706,0.0781758957654723
"30",2009-12-31,"UNIFIL",11393,392.862068965517,127,556.14924282567,469,16.1724137931034,3,32.1759326266402,11862,409.034482758621,144,582.748934102023,0.039538020569887
"31",2009-12-31,"UNMIK",17,1.21428571428571,1,0.42581531362632,0,0,0,0,17,1.21428571428571,1,0.42581531362632,0
"32",2009-12-31,"UNMIL",10505,172.213114754098,5,537.054904541243,442,7.24590163934426,0,21.4962444299037,10947,179.459016393443,7,544.767827420406,0.040376358819768
"33",2009-12-31,"UNMIN",68,3.77777777777778,4,2.21108319357027,4,0.222222222222222,0,0.942809041582063,72,4,4,2,0.0555555555555556
"34",2009-12-31,"UNMIS",10034,147.558823529412,10.5,439.605602830977,227,3.33823529411765,0,7.35173914670017,10261,150.897058823529,12.5,442.803117858547,0.0221226001364389
"35",2009-12-31,"UNMIT",1496,35.6190476190476,13,57.2333487898882,56,1.33333333333333,0,1.84346792316542,1552,36.9523809523809,14,57.9688530248966,0.0360824742268041
"36",2009-12-31,"UNMOGIP",42,5.25,5,2.86605752110555,1,0.125,0,0.353553390593274,43,5.375,5,3.02076149339864,0.0232558139534884
"37",2009-12-31,"UNOCI",8427,165.235294117647,6,430.692910934707,109,2.13725490196078,0,7.60531290044831,8536,167.372549019608,7,432.689725359145,0.0127694470477976
"38",2009-12-31,"UNTSO",144,6.26086956521739,5,4.19108785296901,7,0.304347826086957,0,0.634950435338042,151,6.56521739130435,7,4.30460733038156,0.0463576158940397
"39",2010-01-31,"BINUB",15,1.25,1,0.452267016866645,0,0,0,0,15,1.25,1,0.452267016866645,0
"40",2010-01-31,"MINURCAT",3637,80.8222222222222,10,190.641892859705,112,2.48888888888889,0,6.55266157659418,3749,83.3111111111111,12,192.970890671274,0.0298746332355295
"41",2010-01-31,"MINURSO",220,7.58620689655172,5,6.47256430404139,13,0.448275862068966,0,1.21261838587154,233,8.03448275862069,6,7.03807379604823,0.055793991416309
"42",2010-01-31,"MINUSTAH",8810,187.446808510638,39,347.350644069138,220,4.68085106382979,1,9.2926019732827,9030,192.127659574468,39,352.667327971158,0.0243632336655592
"43",2010-01-31,"MONUC",20285,355.877192982456,21,864.440406732575,432,7.57894736842105,0,25.5139649214903,20717,363.456140350877,23,870.685076538162,0.0208524400251002
"44",2010-01-31,"UNAMA",20,1.25,1,0.447213595499958,1,0.0625,0,0.25,21,1.3125,1,0.602079728939615,0.0476190476190476
"45",2010-01-31,"UNAMI",232,29,2,77.581293768905,0,0,0,0,232,29,2,77.581293768905,0
"46",2010-01-31,"UNAMID",19882,397.64,47,808.737357028264,733,14.66,1.5,38.7691282610591,20615,412.3,49.5,834.077597574416,0.0355566335192821
"47",2010-01-31,"UNDOF",1012,144.571428571429,89,154.225870228114,29,4.14285714285714,1,5.17779140266618,1041,148.714285714286,95,158.72482927561,0.0278578290105668
"48",2010-01-31,"UNFICYP",852,42.6,6,81.8357790751827,71,3.55,0.5,7.23642104038206,923,46.15,7,87.8804660649309,0.0769230769230769
"49",2010-01-31,"UNIFIL",11473,395.620689655172,127,569.526521005018,489,16.8620689655172,7,32.6219953601981,11962,412.48275862069,139,596.850939795671,0.040879451596723
"50",2010-01-31,"UNMIK",16,1.23076923076923,1,0.438529009653515,0,0,0,0,16,1.23076923076923,1,0.438529009653515,0
"51",2010-01-31,"UNMIL",10237,167.819672131148,5,536.474494833219,442,7.24590163934426,0,21.3694920682928,10679,175.065573770492,8,543.669288840574,0.0413896432250211
"52",2010-01-31,"UNMIN",66,3.66666666666667,4,2.16930457818656,5,0.277777777777778,0,0.9582800496696,71,3.94444444444444,4,1.98441641213028,0.0704225352112676
"53",2010-01-31,"UNMIS",10125,148.897058823529,11,442.968080778102,224,3.29411764705882,0,7.27099907633347,10349,152.191176470588,13,446.165763230654,0.0216446033433182
"54",2010-01-31,"UNMIT",1483,35.3095238095238,13,57.732135066009,60,1.42857142857143,0,2.01388905576247,1543,36.7380952380952,13.5,58.7973201329787,0.0388852883992223
"55",2010-01-31,"UNMOGIP",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
"56",2010-01-31,"UNOCI",8440,162.307692307692,6,427.773695827162,110,2.11538461538462,0,7.53723787279738,8550,164.423076923077,7,429.755395369471,0.0128654970760234
"57",2010-01-31,"UNTSO",146,6.34782608695652,5,4.01823904954503,7,0.304347826086957,0,0.634950435338042,153,6.65217391304348,7,4.12981064558406,0.0457516339869281
"58",2010-02-28,"BINUB",15,1.25,1,0.452267016866645,0,0,0,0,15,1.25,1,0.452267016866645,0
"59",2010-02-28,"MINURCAT",3708,86.2325581395349,13,193.858544060366,106,2.46511627906977,0,6.23869964018488,3814,88.6976744186046,13,195.802565147325,0.0277923439958049
"60",2010-02-28,"MINURSO",212,7.31034482758621,5,5.97676123639277,12,0.413793103448276,0,1.11858460882206,224,7.72413793103448,6,6.58947511308828,0.0535714285714286
"61",2010-02-28,"MINUSTAH",8858,184.541666666667,35.5,343.06732534054,229,4.77083333333333,1,9.13082127539032,9087,189.3125,36.5,348.200184306476,0.0252008363596346
"62",2010-02-28,"MONUC",20144,353.40350877193,23,862.058269070707,429,7.52631578947368,0,25.4271404936578,20573,360.929824561404,24,867.747162395021,0.0208525737617265
"63",2010-02-28,"UNAMA",21,1.3125,1,0.602079728939615,0,0,0,0,21,1.3125,1,0.602079728939615,0
"64",2010-02-28,"UNAMI",232,29,2,77.581293768905,0,0,0,0,232,29,2,77.581293768905,0
"65",2010-02-28,"UNAMID",21031,438.145833333333,52.5,844.372081681231,769,16.0208333333333,1.5,41.1905223468418,21800,454.166666666667,53.5,872.083890492616,0.0352752293577982
"66",2010-02-28,"UNDOF",1015,145,89,155.090296279297,29,4.14285714285714,1,5.17779140266618,1044,149.142857142857,95,159.604123350483,0.0277777777777778
"67",2010-02-28,"UNFICYP",848,42.4,6,81.1764809081521,71,3.55,0.5,7.02233279578352,919,45.95,7.5,87.0272038533143,0.0772578890097933
"68",2010-02-28,"UNIFIL",11047,356.354838709677,65,526.72304856772,457,14.741935483871,1,29.3120768534467,11504,371.096774193548,78,550.736558609693,0.0397253129346314
"69",2010-02-28,"UNMIK",16,1.23076923076923,1,0.599144689515278,0,0,0,0,16,1.23076923076923,1,0.599144689515278,0
"70",2010-02-28,"UNMIL",10108,168.466666666667,6,539.694875084145,447,7.45,0.5,21.5912921870157,10555,175.916666666667,8.5,546.913505746897,0.0423495973472288
"71",2010-02-28,"UNMIN",62,3.44444444444444,3.5,2.12054993483855,5,0.277777777777778,0,0.9582800496696,67,3.72222222222222,4,1.9645551975404,0.0746268656716418
"72",2010-02-28,"UNMIS",10295,151.397058823529,11,453.435020265485,246,3.61764705882353,0,8.90082909397436,10541,155.014705882353,12.5,457.067665151209,0.02333744426525
"73",2010-02-28,"UNMIT",1451,36.275,14,56.1454098861345,70,1.75,1,2.29548050944258,1521,38.025,17.5,57.2580696361791,0.0460223537146614
"74",2010-02-28,"UNMOGIP",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
"75",2010-02-28,"UNOCI",8433,159.11320754717,6,423.181887625775,111,2.09433962264151,0,7.58354532205545,8544,161.207547169811,7,425.177716621151,0.0129915730337079
"76",2010-02-28,"UNTSO",147,6.39130434782609,7,4.15319297140255,6,0.260869565217391,0,0.540823555863717,153,6.65217391304348,7,4.22770833745201,0.0392156862745098
"77",2010-03-31,"BINUB",15,1.25,1,0.452267016866645,0,0,0,0,15,1.25,1,0.452267016866645,0
"78",2010-03-31,"MINURCAT",3654,91.35,15,198.510808334562,101,2.525,0,6.54760672659513,3755,93.875,15.5,200.469984645058,0.0268974700399467
"79",2010-03-31,"MINURSO",221,7.62068965517241,5,6.36628279691111,13,0.448275862068966,0,1.21261838587154,234,8.06896551724138,7,6.96384045564124,0.0555555555555556
"80",2010-03-31,"MINUSTAH",10217,208.510204081633,41,411.437374864479,255,5.20408163265306,1,9.61114715629014,10472,213.714285714286,42,415.533241750886,0.0243506493506494
"81",2010-03-31,"MONUC",20133,353.210526315789,20,862.368866570492,428,7.50877192982456,0,25.3081881209405,20561,360.719298245614,22,868.223550754766,0.0208161081659452
"82",2010-03-31,"UNAMA",22,1.22222222222222,1,0.548318880553316,0,0,0,0,22,1.22222222222222,1,0.548318880553316,0
"83",2010-03-31,"UNAMI",232,29,2,77.581293768905,0,0,0,0,232,29,2,77.581293768905,0
"84",2010-03-31,"UNAMID",21060,448.085106382979,45,856.837050861994,805,17.1276595744681,2,39.3101475013417,21865,465.212765957447,50,882.778886495471,0.0368168305511091
"85",2010-03-31,"UNDOF",1014,144.857142857143,89,154.484550005741,30,4.28571428571429,1,5.37631490007439,1044,149.142857142857,95,159.239262925771,0.028735632183908
"86",2010-03-31,"UNFICYP",853,42.65,6,82.6509941991339,77,3.85,0.5,7.28571060002855,930,46.5,7.5,88.6426890148842,0.0827956989247312
"87",2010-03-31,"UNIFIL",11073,357.193548387097,66,516.167441783177,463,14.9354838709677,1,28.9377901527524,11536,372.129032258065,77,539.489804780744,0.0401352288488211
"88",2010-03-31,"UNMIK",15,1.15384615384615,1,0.554700196225229,0,0,0,0,15,1.15384615384615,1,0.554700196225229,0
"89",2010-03-31,"UNMIL",10023,169.881355932203,7,546.35936401457,378,6.40677966101695,0,20.6649116604299,10401,176.28813559322,8,553.97155568854,0.036342659359677
"90",2010-03-31,"UNMIN",64,3.76470588235294,4,2.19457888228886,5,0.294117647058824,0,0.985184366143778,69,4.05882352941176,4,1.9833868834425,0.072463768115942
"91",2010-03-31,"UNMIS",10320,151.764705882353,10,457.941113259494,239,3.51470588235294,0,8.18533936432807,10559,155.279411764706,12.5,461.219501134237,0.0226347191968936
"92",2010-03-31,"UNMIT",1484,37.1,13.5,59.2239556520579,69,1.725,1,2.21865632702226,1553,38.825,16,60.2051567345846,0.0444301352221507
"93",2010-03-31,"UNMOGIP",42,5.25,5.5,2.71240536372107,1,0.125,0,0.353553390593274,43,5.375,5.5,2.87538817255291,0.0232558139534884
"94",2010-03-31,"UNOCI",8417,161.865384615385,6,427.499571326291,125,2.40384615384615,0,9.39181874968037,8542,164.269230769231,7,429.759627999444,0.0146335752751112
"95",2010-03-31,"UNTSO",146,6.34782608695652,5,4.19532960729357,5,0.217391304347826,0,0.518434859512082,151,6.56521739130435,7,4.24077701881626,0.033112582781457
"96",2010-04-30,"BINUB",14,1.16666666666667,1,0.389249472080761,0,0,0,0,14,1.16666666666667,1,0.389249472080761,0
"97",2010-04-30,"MINURCAT",3591,89.775,11,198.752969660123,80,2,0,5.04848288965898,3671,91.775,11,200.70101343758,0.0217924271315718
"98",2010-04-30,"MINURSO",210,7.24137931034483,5,6.58816673185337,12,0.413793103448276,0,1.11858460882206,222,7.6551724137931,7,7.22730863792209,0.0540540540540541
"99",2010-04-30,"MINUSTAH",10312,202.196078431373,37,406.525030944361,253,4.96078431372549,1,8.98656949967834,10565,207.156862745098,37,410.216595107951,0.0239469947941316
"100",2010-04-30,"MONUC",20344,350.758620689655,21,857.969948157815,475,8.18965517241379,0,30.5277882595408,20819,358.948275862069,23,864.873085150664,0.0228156971996734
"101",2010-04-30,"UNAMA",21,1.23529411764706,1,0.562295714538387,0,0,0,0,21,1.23529411764706,1,0.562295714538387,0
"102",2010-04-30,"UNAMI",232,29,2,77.581293768905,0,0,0,0,232,29,2,77.581293768905,0
"103",2010-04-30,"UNAMID",21035,447.553191489362,44,860.47236290688,898,19.1063829787234,2,42.956112103722,21933,466.659574468085,49,888.273588793251,0.0409428714722108
"104",2010-04-30,"UNDOF",1015,169.166666666667,140.5,155.197186400613,28,4.66666666666667,3.5,5.04645089807348,1043,173.833333333333,144,159.512277479405,0.0268456375838926
"105",2010-04-30,"UNFICYP",846,42.3,6,81.8876637454276,79,3.95,0.5,7.68097444475977,925,46.25,7.5,88.1427520380553,0.0854054054054054
"106",2010-04-30,"UNIFIL",11425,368.548387096774,65,550.4283688613,447,14.4193548387097,1,27.0502916725475,11872,382.967741935484,77,572.829322100453,0.0376516172506739
"107",2010-04-30,"UNMIK",15,1.15384615384615,1,0.554700196225229,1,0.0769230769230769,0,0.277350098112615,16,1.23076923076923,1,0.599144689515278,0.0625
"108",2010-04-30,"UNMIL",9295,157.542372881356,6,497.02734685167,349,5.91525423728814,0,19.5521302619197,9644,163.457627118644,8,503.876056258019,0.0361883036084612
"109",2010-04-30,"UNMIN",66,3.66666666666667,4,2.16930457818656,5,0.277777777777778,0,0.9582800496696,71,3.94444444444444,4,1.98441641213028,0.0704225352112676
"110",2010-04-30,"UNMIS",10327,151.867647058824,10,457.728522305192,244,3.58823529411765,0,8.22125983394536,10571,155.455882352941,12,461.035804412148,0.0230820168385205
"111",2010-04-30,"UNMIT",1488,37.2,14,57.702241879746,77,1.925,1,2.92107725123666,1565,39.125,16.5,58.8915506977847,0.0492012779552716
"112",2010-04-30,"UNMOGIP",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
"113",2010-04-30,"UNOCI",8374,164.196078431373,5,430.432527563048,129,2.52941176470588,0,10.0126978206205,8503,166.725490196078,5,432.768486765447,0.0151711160766788
"114",2010-04-30,"UNTSO",146,6.34782608695652,5,4.12981064558406,6,0.260869565217391,0,0.540823555863717,152,6.60869565217391,7,4.20755954351842,0.0394736842105263
"115",2010-05-31,"BINUB",13,1.18181818181818,1,0.404519917477945,0,0,0,0,13,1.18181818181818,1,0.404519917477945,0
"116",2010-05-31,"MINURCAT",3109,79.7179487179487,10,194.797593835505,40,1.02564102564103,0,3.00427046479524,3149,80.7435897435897,10,196.189451665143,0.012702445220705
"117",2010-05-31,"MINURSO",227,7.82758620689655,5,6.73513689285654,12,0.413793103448276,0,1.11858460882206,239,8.24137931034483,7,7.32732251046819,0.0502092050209205
"118",2010-05-31,"MINUSTAH",10641,204.634615384615,37.5,404.06493502834,275,5.28846153846154,1,9.18937267367836,10916,209.923076923077,40.5,407.711491907555,0.0251923781604984
"119",2010-05-31,"MONUC",20318,356.456140350877,21,864.168842426381,478,8.3859649122807,0,30.9502794736776,20796,364.842105263158,23,871.159178284758,0.0229851894595114
"120",2010-05-31,"UNAMA",16,1.14285714285714,1,0.363136519601281,0,0,0,0,16,1.14285714285714,1,0.363136519601281,0
"121",2010-05-31,"UNAMI",234,29.25,2,77.4850215940382,0,0,0,0,234,29.25,2,77.4850215940382,0
"122",2010-05-31,"UNAMID",21208,441.833333333333,40.5,856.195825019103,879,18.3125,2,41.4580825217831,22087,460.145833333333,46.5,882.900370022872,0.0397971657536107
"123",2010-05-31,"UNDOF",1007,167.833333333333,139.5,153.892711544981,34,5.66666666666667,3.5,6.83130051063973,1041,173.5,143,159.466297379728,0.0326609029779059
"124",2010-05-31,"UNFICYP",845,42.25,6,81.4796551939582,81,4.05,0,8.51299316524916,926,46.3,7.5,88.2729618256558,0.0874730021598272
"125",2010-05-31,"UNIFIL",11590,373.870967741935,128,520.815113831865,477,15.3870967741935,1,29.3606056015594,12067,389.258064516129,146,544.386625340357,0.0395292947708627
"126",2010-05-31,"UNMIK",15,1.15384615384615,1,0.554700196225229,1,0.0769230769230769,0,0.277350098112615,16,1.23076923076923,1,0.599144689515278,0.0625
"127",2010-05-31,"UNMIL",9071,148.704918032787,5,478.250086051998,358,5.86885245901639,0,19.547783684974,9429,154.573770491803,6,485.715810566096,0.0379679711528264
"128",2010-05-31,"UNMIN",63,3.5,4,1.97781816805346,5,0.277777777777778,0,0.9582800496696,68,3.77777777777778,4,1.80050827972533,0.0735294117647059
"129",2010-05-31,"UNMIS",10365,154.701492537313,10,462.590073617949,246,3.67164179104478,1,8.40884826131756,10611,158.373134328358,11,465.972194378556,0.0231834888323438
"130",2010-05-31,"UNMIT",1459,37.4102564102564,14,57.3115759174623,71,1.82051282051282,0,2.92783191629821,1530,39.2307692307692,17,58.5776414766902,0.0464052287581699
"131",2010-05-31,"UNMOGIP",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
"132",2010-05-31,"UNOCI",8399,164.686274509804,7,430.428739291236,132,2.58823529411765,0,9.99635227588191,8531,167.274509803922,7,432.778561318898,0.015472980893213
"133",2010-05-31,"UNTSO",151,6.56521739130435,5,4.11014362673752,3,0.130434782608696,0,0.45769658728016,154,6.69565217391304,7,4.13889294167036,0.0194805194805195
"134",2010-06-30,"BINUB",13,1.18181818181818,1,0.404519917477945,0,0,0,0,13,1.18181818181818,1,0.404519917477945,0
"135",2010-06-30,"MINURCAT",2653,69.8157894736842,9,161.366437996016,33,0.868421052631579,0,2.51665858084043,2686,70.6842105263158,9,162.439860848879,0.0122859270290395
"136",2010-06-30,"MINURSO",217,7.75,7,6.3980610488792,15,0.535714285714286,0,1.79468645476013,232,8.28571428571429,7,7.37793076911558,0.0646551724137931
"137",2010-06-30,"MINUSTAH",11175,206.944444444444,37,400.527266481283,403,7.46296296296296,1,18.1656039925376,11578,214.407407407407,37,405.150124448113,0.0348073933321817
"138",2010-06-30,"MONUC",20106,352.736842105263,21,862.132893433402,480,8.42105263157895,0,30.815086384305,20586,361.157894736842,24,869.147566573826,0.0233168172544448
"139",2010-06-30,"UNAMA",20,1.25,1,0.577350269189626,0,0,0,0,20,1.25,1,0.577350269189626,0
"140",2010-06-30,"UNAMI",234,29.25,2,77.4850215940382,0,0,0,0,234,29.25,2,77.4850215940382,0
"141",2010-06-30,"UNAMID",20838,434.125,44,845.177423775372,849,17.6875,2,40.5762514391246,21687,451.8125,49,872.330448227193,0.0391478766081062
"142",2010-06-30,"UNDOF",1008,168,139.5,153.968828013985,29,4.83333333333333,3,6.49358657959272,1037,172.833333333333,142.5,158.633434895254,0.0279652844744455
"143",2010-06-30,"UNFICYP",847,42.35,6,81.6102902438425,80,4,0,8.3097913077855,927,46.35,7.5,88.2927397623205,0.0862998921251348
"144",2010-06-30,"UNIFIL",10981,366.033333333333,123,488.56118688792,472,15.7333333333333,3,28.526978559727,11453,381.766666666667,146,510.466837271554,0.0412119095433511
"145",2010-06-30,"UNMIK",13,1.08333333333333,1,0.288675134594813,1,0.0833333333333333,0,0.288675134594813,14,1.16666666666667,1,0.389249472080761,0.0714285714285714
"146",2010-06-30,"UNMIL",8943,146.606557377049,5,472.867010151499,364,5.9672131147541,0,20.1874277815961,9307,152.573770491803,7,480.844724036648,0.0391103470506071
"147",2010-06-30,"UNMIN",65,3.61111111111111,4,2.11823702747713,5,0.277777777777778,0,0.9582800496696,70,3.88888888888889,4,1.93691352076651,0.0714285714285714
"148",2010-06-30,"UNMIS",10360,154.626865671642,11,462.211641010351,254,3.7910447761194,1,8.19374727133133,10614,158.417910447761,12,465.481606226241,0.0239306576220087
"149",2010-06-30,"UNMIT",1400,36.8421052631579,14.5,57.9219074998489,66,1.73684210526316,0,2.91949838829555,1466,38.5789473684211,16.5,59.1779869495623,0.0450204638472033
"150",2010-06-30,"UNMOGIP",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
