"","Date","Mission","Type","Male","Male.mean","Male.med","Male.sd","Female","Female.mean","Female.med","Female.sd","Total","Total.mean","Total.med","Total.sd","female.perc"
"36",2009-11-30,"UNDOF","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"37",2009-11-30,"UNFICYP","Contingent Troops",798,39.9,1,82.9704449598898,58,2.9,0,7.78595226234909,856,42.8,1,89.5741974125655,0.0677570093457944
"38",2009-11-30,"UNFICYP","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"39",2009-11-30,"UNFICYP","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"40",2009-11-30,"UNFICYP","Individual Police",53,2.65,0.5,3.80131556174964,15,0.75,0,1.55173926187427,68,3.4,0.5,5.24554949206317,0.220588235294118
"41",2009-11-30,"UNIFIL","Contingent Troops",11669,402.379310344828,135,533.102939255042,464,16,5,29.6298594567806,12133,418.379310344828,157,557.64584343426,0.0382428088683755
"42",2009-11-30,"UNIFIL","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"43",2009-11-30,"UNIFIL","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"44",2009-11-30,"UNIFIL","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"45",2009-11-30,"UNMIK","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"46",2009-11-30,"UNMIK","Experts on Mission",9,0.75,1,0.621581560508061,0,0,0,0,9,0.75,1,0.621581560508061,0
"47",2009-11-30,"UNMIK","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"48",2009-11-30,"UNMIK","Individual Police",7,0.583333333333333,1,0.514928650544437,0,0,0,0,7,0.583333333333333,1,0.514928650544437,0
"49",2009-11-30,"UNMIL","Contingent Troops",9638,158,0,533.218310513308,244,4,0,14.4625954332778,9882,162,0,539.923698313012,0.0246913580246914
"50",2009-11-30,"UNMIL","Experts on Mission",114,1.86885245901639,2,2.50649429706157,11,0.180327868852459,0,0.465768065361272,125,2.04918032786885,2,2.66099122827188,0.088
"51",2009-11-30,"UNMIL","Formed Police Units",714,11.7049180327869,0,47.3808485439335,130,2.13114754098361,0,13.4207245331441,844,13.8360655737705,0,54.3857151366879,0.154028436018957
"52",2009-11-30,"UNMIL","Individual Police",438,7.18032786885246,3,8.87413506906694,58,0.950819672131147,0,2.06095632743796,496,8.13114754098361,3,9.93222937350265,0.116935483870968
"53",2009-11-30,"UNMIN","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"54",2009-11-30,"UNMIN","Experts on Mission",68,3.77777777777778,4,2.21108319357027,4,0.222222222222222,0,0.942809041582063,72,4,4,2,0.0555555555555556
