"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
2011-06-30,"Western Europe","Europe",7,2082,113,103,2298
2011-07-31,"Eastern Europe","Europe",10,696,117,153,966
2011-07-31,"Northern Europe","Europe",8,919,60,96,1075
2011-07-31,"Southern Europe","Europe",11,3089,284,62,3435
2011-07-31,"Western Europe","Europe",7,2143,89,60,2292
2011-08-31,"Eastern Europe","Europe",10,693,142,180,1015
2011-08-31,"Northern Europe","Europe",8,873,68,114,1055
2011-08-31,"Southern Europe","Europe",10,3073,275,60,3408
2011-08-31,"Western Europe","Europe",7,2031,98,70,2199
2011-09-30,"Eastern Europe","Europe",10,655,140,172,967
2011-09-30,"Northern Europe","Europe",8,879,70,113,1062
2011-09-30,"Southern Europe","Europe",10,3129,278,60,3467
2011-09-30,"Western Europe","Europe",7,2192,92,73,2357
2011-10-31,"Eastern Europe","Europe",10,656,110,169,935
2011-10-31,"Northern Europe","Europe",8,885,77,110,1072
2011-10-31,"Southern Europe","Europe",10,3258,278,60,3596
2011-10-31,"Western Europe","Europe",6,2059,78,75,2212
2011-11-30,"Eastern Europe","Europe",10,655,127,166,948
2011-11-30,"Northern Europe","Europe",8,740,75,113,928
2011-11-30,"Southern Europe","Europe",10,2655,281,60,2996
2011-11-30,"Western Europe","Europe",6,2222,80,67,2369
2011-12-31,"Eastern Europe","Europe",10,645,128,164,937
2011-12-31,"Northern Europe","Europe",8,739,73,108,920
2011-12-31,"Southern Europe","Europe",10,2524,271,59,2854
2011-12-31,"Western Europe","Europe",6,2215,74,71,2360
2012-01-31,"Eastern Europe","Europe",10,648,126,167,941
2012-01-31,"Northern Europe","Europe",8,751,74,110,935
2012-01-31,"Southern Europe","Europe",10,2520,275,59,2854
2012-01-31,"Western Europe","Europe",6,2230,83,76,2389
2012-02-28,"Eastern Europe","Europe",10,671,125,167,963
2012-02-28,"Northern Europe","Europe",8,754,74,108,936
2012-02-28,"Southern Europe","Europe",10,2494,292,58,2844
2012-02-28,"Western Europe","Europe",6,2226,82,74,2382
2012-03-31,"Eastern Europe","Europe",10,703,122,156,981
2012-03-31,"Northern Europe","Europe",8,756,87,110,953
2012-03-31,"Southern Europe","Europe",10,2523,295,58,2876
2012-03-31,"Western Europe","Europe",6,2041,77,72,2190
2012-04-30,"Eastern Europe","Europe",10,683,116,150,949
2012-04-30,"Northern Europe","Europe",8,770,77,118,965
2012-04-30,"Southern Europe","Europe",10,2668,292,55,3015
2012-04-30,"Western Europe","Europe",6,2011,95,75,2181
2012-05-31,"Eastern Europe","Europe",10,681,132,174,987
2012-05-31,"Northern Europe","Europe",7,837,78,139,1054
2012-05-31,"Southern Europe","Europe",10,2486,298,66,2850
2012-05-31,"Western Europe","Europe",6,1995,94,87,2176
2012-06-30,"Eastern Europe","Europe",10,683,134,162,979
2012-06-30,"Northern Europe","Europe",8,833,78,145,1056
