"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
2002-03-31,"Melanesia","Oceania",2,786,56,7,849
2002-03-31,"Polynesia","Oceania",1,NA,33,NA,33
2002-04-30,"Australia and New Zealand","Oceania",2,2224,92,44,2360
2002-04-30,"Melanesia","Oceania",2,785,56,7,848
2002-04-30,"Polynesia","Oceania",1,NA,33,NA,33
2002-05-31,"Australia and New Zealand","Oceania",2,1960,95,41,2096
2002-05-31,"Melanesia","Oceania",2,780,56,7,843
2002-05-31,"Polynesia","Oceania",1,NA,33,NA,33
2002-06-30,"Australia and New Zealand","Oceania",2,1873,94,41,2008
2002-06-30,"Melanesia","Oceania",2,774,55,7,836
2002-06-30,"Polynesia","Oceania",1,NA,33,NA,33
2002-07-31,"Australia and New Zealand","Oceania",2,1683,93,44,1820
2002-07-31,"Melanesia","Oceania",2,771,55,7,833
2002-07-31,"Polynesia","Oceania",1,NA,2,NA,2
2002-08-30,"Australia and New Zealand","Oceania",2,1673,75,43,1791
2002-08-30,"Melanesia","Oceania",2,642,55,7,704
2002-08-30,"Polynesia","Oceania",1,NA,2,NA,2
2002-09-30,"Australia and New Zealand","Oceania",2,1608,75,51,1734
2002-09-30,"Melanesia","Oceania",2,643,55,7,705
2002-09-30,"Polynesia","Oceania",1,NA,2,NA,2
2002-10-31,"Australia and New Zealand","Oceania",2,1478,73,42,1593
2002-10-31,"Melanesia","Oceania",1,394,42,7,443
2002-10-31,"Polynesia","Oceania",1,NA,2,NA,2
2002-11-30,"Australia and New Zealand","Oceania",2,914,73,42,1029
2002-11-30,"Melanesia","Oceania",1,392,42,7,441
2002-11-30,"Polynesia","Oceania",1,NA,2,NA,2
2002-12-31,"Australia and New Zealand","Oceania",2,847,70,43,960
2002-12-31,"Melanesia","Oceania",1,190,35,7,232
2002-12-31,"Polynesia","Oceania",1,NA,17,NA,17
2003-01-31,"Australia and New Zealand","Oceania",2,835,70,43,948
2003-01-31,"Melanesia","Oceania",1,191,35,7,233
2003-01-31,"Polynesia","Oceania",1,NA,16,NA,16
2003-02-28,"Australia and New Zealand","Oceania",2,832,60,41,933
2003-02-28,"Melanesia","Oceania",1,202,34,7,243
2003-02-28,"Polynesia","Oceania",1,NA,16,NA,16
2003-03-30,"Australia and New Zealand","Oceania",2,813,60,36,909
2003-03-30,"Melanesia","Oceania",1,206,34,NA,240
2003-03-30,"Polynesia","Oceania",1,NA,16,NA,16
2003-04-30,"Australia and New Zealand","Oceania",2,781,60,38,879
2003-04-30,"Melanesia","Oceania",1,206,34,NA,240
2003-04-30,"Polynesia","Oceania",1,NA,16,NA,16
2003-05-31,"Australia and New Zealand","Oceania",2,819,60,37,916
2003-05-31,"Melanesia","Oceania",1,204,34,NA,238
2003-05-31,"Polynesia","Oceania",1,NA,16,NA,16
2003-06-30,"Australia and New Zealand","Oceania",2,816,59,37,912
2003-06-30,"Melanesia","Oceania",1,204,31,NA,235
2003-06-30,"Polynesia","Oceania",1,NA,16,NA,16
2003-07-31,"Australia and New Zealand","Oceania",2,783,59,33,875
2003-07-31,"Melanesia","Oceania",1,200,31,NA,231
2003-07-31,"Polynesia","Oceania",1,NA,15,NA,15
2003-08-31,"Australia and New Zealand","Oceania",2,798,59,32,889
2003-08-31,"Melanesia","Oceania",1,206,31,NA,237
2003-08-31,"Polynesia","Oceania",1,NA,15,NA,15
2003-09-30,"Australia and New Zealand","Oceania",2,793,60,33,886
2003-09-30,"Melanesia","Oceania",1,205,31,NA,236
2003-09-30,"Polynesia","Oceania",1,NA,15,NA,15
2003-10-31,"Australia and New Zealand","Oceania",2,796,40,34,870
2003-10-31,"Melanesia","Oceania",1,204,31,NA,235
2003-10-31,"Polynesia","Oceania",1,NA,15,NA,15
2003-11-30,"Australia and New Zealand","Oceania",2,366,34,34,434
2003-11-30,"Melanesia","Oceania",1,204,31,NA,235
2003-11-30,"Polynesia","Oceania",1,NA,7,NA,7
2003-12-31,"Australia and New Zealand","Oceania",2,306,35,34,375
2003-12-31,"Melanesia","Oceania",1,197,31,NA,228
2003-12-31,"Polynesia","Oceania",1,NA,4,NA,4
2004-01-31,"Australia and New Zealand","Oceania",2,314,15,34,363
2004-01-31,"Melanesia","Oceania",1,180,31,NA,211
2004-01-31,"Polynesia","Oceania",1,NA,12,NA,12
2004-02-28,"Australia and New Zealand","Oceania",2,308,36,34,378
2004-02-28,"Melanesia","Oceania",1,191,23,NA,214
2004-02-28,"Polynesia","Oceania",1,NA,12,NA,12
2004-03-31,"Australia and New Zealand","Oceania",2,312,36,34,382
2004-03-31,"Melanesia","Oceania",1,189,23,NA,212
2004-03-31,"Polynesia","Oceania",1,NA,12,NA,12
2004-04-30,"Australia and New Zealand","Oceania",2,314,36,34,384
2004-04-30,"Melanesia","Oceania",1,188,23,NA,211
2004-04-30,"Polynesia","Oceania",1,NA,22,NA,22
2004-05-31,"Australia and New Zealand","Oceania",2,280,30,10,320
2004-05-31,"Melanesia","Oceania",1,138,77,NA,215
2004-05-31,"Polynesia","Oceania",1,NA,21,NA,21
2004-06-30,"Australia and New Zealand","Oceania",2,108,30,29,167
2004-06-30,"Melanesia","Oceania",1,136,63,NA,199
2004-06-30,"Polynesia","Oceania",1,NA,21,NA,21
2004-07-31,"Australia and New Zealand","Oceania",2,96,32,27,155
2004-07-31,"Melanesia","Oceania",1,135,63,NA,198
2004-07-31,"Polynesia","Oceania",1,NA,22,NA,22
2004-08-31,"Australia and New Zealand","Oceania",2,94,32,27,153
2004-08-31,"Melanesia","Oceania",1,137,63,NA,200
2004-08-31,"Polynesia","Oceania",1,NA,22,NA,22
2004-09-30,"Australia and New Zealand","Oceania",2,96,32,27,155
2004-09-30,"Melanesia","Oceania",1,137,63,NA,200
2004-09-30,"Polynesia","Oceania",1,NA,24,NA,24
2004-10-31,"Australia and New Zealand","Oceania",2,97,32,27,156
2004-10-31,"Melanesia","Oceania",1,137,63,NA,200
2004-10-31,"Polynesia","Oceania",1,NA,24,NA,24
2004-11-30,"Australia and New Zealand","Oceania",2,90,32,28,150
2004-11-30,"Melanesia","Oceania",1,137,63,NA,200
2004-11-30,"Polynesia","Oceania",1,NA,24,NA,24
2004-12-31,"Australia and New Zealand","Oceania",2,95,32,28,155
2004-12-31,"Melanesia","Oceania",1,137,61,NA,198
2004-12-31,"Polynesia","Oceania",1,NA,24,NA,24
2005-01-31,"Australia and New Zealand","Oceania",2,95,32,29,156
2005-01-31,"Melanesia","Oceania",1,137,61,NA,198
2005-01-31,"Polynesia","Oceania",1,NA,24,NA,24
2005-02-28,"Australia and New Zealand","Oceania",2,92,32,31,155
2005-02-28,"Melanesia","Oceania",1,137,60,NA,197
2005-02-28,"Polynesia","Oceania",1,NA,22,NA,22
2005-03-31,"Australia and New Zealand","Oceania",2,97,32,31,160
2005-03-31,"Melanesia","Oceania",1,137,60,NA,197
2005-03-31,"Polynesia","Oceania",1,NA,22,NA,22
