"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1994-06-30,"South America","South America",7,2182,200,241,2623
1994-07-31,"Central America","South America",2,2,38,14,54
1994-07-31,"Northern America","North America",2,3437,46,108,3591
1994-07-31,"South America","South America",7,2351,188,228,2767
1994-08-31,"Central America","South America",2,2,37,14,53
1994-08-31,"Northern America","North America",2,3514,46,120,3680
1994-08-31,"South America","South America",7,2352,193,238,2783
1994-09-30,"Central America","South America",2,2,29,14,45
1994-09-30,"Northern America","North America",2,3486,45,119,3650
1994-09-30,"South America","South America",7,2359,189,224,2772
1994-10-31,"Central America","South America",2,NA,29,14,43
1994-10-31,"Northern America","North America",2,3470,62,118,3650
1994-10-31,"South America","South America",7,3111,206,210,3527
1994-11-30,"Central America","South America",3,NA,4,16,20
1994-11-30,"Northern America","North America",2,3441,63,122,3626
1994-11-30,"South America","South America",7,2927,138,192,3257
1994-12-31,"Caribbean","South America",1,NA,NA,4,4
1994-12-31,"Central America","South America",2,NA,4,14,18
1994-12-31,"Northern America","North America",2,3585,65,124,3774
1994-12-31,"South America","South America",7,2932,136,195,3263
1995-01-31,"Caribbean","South America",1,NA,NA,4,4
1995-01-31,"Central America","South America",3,NA,4,16,20
1995-01-31,"Northern America","North America",2,3346,68,118,3532
1995-01-31,"South America","South America",7,1311,62,152,1525
1995-02-28,"Caribbean","South America",1,NA,NA,4,4
1995-02-28,"Central America","South America",3,NA,4,16,20
1995-02-28,"Northern America","North America",2,3512,136,120,3768
1995-02-28,"South America","South America",7,1315,77,164,1556
1995-03-31,"Caribbean","South America",4,136,31,4,171
1995-03-31,"Central America","South America",3,123,4,16,143
1995-03-31,"Northern America","North America",2,6152,145,118,6415
1995-03-31,"South America","South America",7,1380,156,161,1697
1995-04-30,"Caribbean","South America",5,138,45,4,187
1995-04-30,"Central America","South America",3,120,4,16,140
1995-04-30,"Northern America","North America",2,6079,145,117,6341
1995-04-30,"South America","South America",8,1403,171,161,1735
1995-05-31,"Caribbean","South America",6,231,45,4,280
1995-05-31,"Central America","South America",3,244,NA,16,260
1995-05-31,"Northern America","North America",2,6173,103,115,6391
1995-05-31,"South America","South America",7,2238,172,157,2567
1995-06-30,"Caribbean","South America",6,231,45,4,280
1995-06-30,"Central America","South America",3,244,NA,16,260
1995-06-30,"Northern America","North America",2,6117,103,115,6335
1995-06-30,"South America","South America",7,2248,169,155,2572
1995-07-31,"Caribbean","South America",6,231,45,4,280
1995-07-31,"Central America","South America",3,244,NA,16,260
1995-07-31,"Northern America","North America",2,5993,99,117,6209
1995-07-31,"South America","South America",7,1904,169,157,2230
1995-08-31,"Caribbean","South America",6,231,45,4,280
1995-08-31,"Central America","South America",3,244,NA,16,260
1995-08-31,"Northern America","North America",2,6061,87,105,6253
1995-08-31,"South America","South America",7,1908,168,155,2231
1995-09-30,"Caribbean","South America",5,172,30,4,206
1995-09-30,"Central America","South America",3,247,NA,16,263
1995-09-30,"Northern America","North America",2,5312,97,101,5510
1995-09-30,"South America","South America",7,1846,114,145,2105
1995-10-31,"Caribbean","South America",5,176,30,4,210
1995-10-31,"Central America","South America",3,242,NA,16,258
1995-10-31,"Northern America","North America",2,5192,96,101,5389
1995-10-31,"South America","South America",7,2458,115,159,2732
1995-11-30,"Caribbean","South America",5,176,30,4,210
1995-11-30,"Central America","South America",3,241,NA,16,257
1995-11-30,"Northern America","North America",2,4464,95,101,4660
1995-11-30,"South America","South America",7,2431,110,153,2694
1995-12-31,"Caribbean","South America",5,175,20,4,199
1995-12-31,"Central America","South America",3,180,NA,15,195
1995-12-31,"Northern America","North America",2,3821,93,100,4014
1995-12-31,"South America","South America",6,2420,86,141,2647
1996-01-31,"Caribbean","South America",1,NA,NA,4,4
1996-01-31,"Central America","South America",3,11,NA,19,30
1996-01-31,"Northern America","North America",2,3220,93,92,3405
1996-01-31,"South America","South America",5,2356,40,136,2532
1996-02-29,"Caribbean","South America",1,NA,NA,4,4
1996-02-29,"Central America","South America",2,NA,NA,16,16
1996-02-29,"Northern America","North America",2,2953,93,77,3123
1996-02-29,"South America","South America",5,2187,33,125,2345
1996-03-31,"Caribbean","South America",2,1,7,4,12
1996-03-31,"Central America","South America",2,NA,NA,16,16
1996-03-31,"Northern America","North America",2,1645,108,75,1828
1996-03-31,"South America","South America",5,2369,54,105,2528
1996-04-30,"Caribbean","South America",2,1,7,4,12
1996-04-30,"Central America","South America",2,NA,NA,16,16
1996-04-30,"Northern America","North America",2,1509,198,75,1782
1996-04-30,"South America","South America",5,2362,48,97,2507
1996-05-31,"Caribbean","South America",2,1,7,4,12
1996-05-31,"Central America","South America",2,NA,NA,16,16
1996-05-31,"Northern America","North America",2,1495,291,73,1859
1996-05-31,"South America","South America",5,2453,122,96,2671
1996-06-30,"Caribbean","South America",2,1,7,4,12
1996-06-30,"Central America","South America",2,NA,NA,16,16
1996-06-30,"Northern America","North America",2,1493,285,69,1847
1996-06-30,"South America","South America",5,2466,103,94,2663
1996-07-31,"Caribbean","South America",2,1,7,3,11
1996-07-31,"Central America","South America",2,NA,NA,16,16
1996-07-31,"Northern America","North America",2,1460,304,56,1820
1996-07-31,"South America","South America",5,2381,92,182,2655
1996-08-31,"Caribbean","South America",2,1,7,3,11
1996-08-31,"Central America","South America",2,NA,NA,14,14
1996-08-31,"Northern America","North America",2,1350,302,53,1705
1996-08-31,"South America","South America",5,2477,140,91,2708
1996-09-30,"Caribbean","South America",2,1,7,3,11
1996-09-30,"Central America","South America",2,NA,NA,14,14
1996-09-30,"Northern America","North America",2,1384,297,53,1734
1996-09-30,"South America","South America",5,2478,89,93,2660
1996-10-31,"Caribbean","South America",2,1,7,3,11
1996-10-31,"Central America","South America",2,NA,NA,14,14
1996-10-31,"Northern America","North America",2,1430,332,53,1815
1996-10-31,"South America","South America",5,2446,89,88,2623
1996-11-30,"Caribbean","South America",2,1,7,4,12
1996-11-30,"Central America","South America",2,NA,NA,14,14
1996-11-30,"Northern America","North America",2,1433,333,53,1819
1996-11-30,"South America","South America",5,2449,87,94,2630
1996-12-31,"Caribbean","South America",1,NA,NA,4,4
1996-12-31,"Central America","South America",2,NA,NA,14,14
1996-12-31,"Northern America","North America",2,1421,330,52,1803
1996-12-31,"South America","South America",5,2295,87,93,2475
1997-01-31,"Caribbean","South America",1,NA,NA,4,4
1997-01-31,"Central America","South America",2,NA,NA,14,14
1997-01-31,"Northern America","North America",2,1438,358,51,1847
1997-01-31,"South America","South America",6,2315,91,99,2505
1997-02-28,"Caribbean","South America",1,NA,NA,4,4
1997-02-28,"Central America","South America",2,NA,NA,14,14
1997-02-28,"Northern America","North America",2,1394,353,71,1818
1997-02-28,"South America","South America",7,2180,110,144,2434
1997-03-31,"Caribbean","South America",1,NA,NA,4,4
1997-03-31,"Central America","South America",2,NA,NA,14,14
1997-03-31,"Northern America","North America",2,1432,358,71,1861
1997-03-31,"South America","South America",7,1513,114,143,1770
1997-04-30,"Caribbean","South America",1,NA,NA,4,4
1997-04-30,"Central America","South America",2,NA,NA,14,14
1997-04-30,"Northern America","North America",2,1457,342,71,1870
1997-04-30,"South America","South America",7,1497,111,141,1749
1997-05-31,"Caribbean","South America",1,NA,NA,4,4
