"date","mission.continent","mission.un.region","n.missions","troops","police","observers","total"
1992-08-31,"Africa","Middle Africa",1,890,118,319,1327
1992-08-31,"Africa","Northern Africa",1,129,0,226,355
1992-08-31,"Asia","South-Eastern Asia",1,14249,2819,463,17531
1992-08-31,"Asia","Southern Asia",1,0,0,38,38
1992-08-31,"Asia","Western Asia",5,8476,38,522,9036
1992-08-31,"Europe","Southern Europe",1,14062,600,234,14896
1992-08-31,"South America","Central America",1,8,311,286,605
1992-09-30,"Africa","Eastern Africa",1,0,0,55,55
1992-09-30,"Africa","Middle Africa",1,14,111,366,491
1992-09-30,"Africa","Northern Africa",1,116,0,233,349
1992-09-30,"Asia","South-Eastern Asia",1,13824,2709,470,17003
1992-09-30,"Asia","Southern Asia",1,0,0,35,35
1992-09-30,"Asia","Western Asia",5,8895,38,513,9446
1992-09-30,"Europe","Southern Europe",1,15378,600,219,16197
1992-09-30,"South America","Central America",1,8,311,238,557
1992-10-31,"Africa","Eastern Africa",1,503,0,50,553
1992-10-31,"Africa","Middle Africa",1,11,94,296,401
1992-10-31,"Africa","Northern Africa",1,158,0,219,377
1992-10-31,"Asia","South-Eastern Asia",1,14060,3202,451,17713
1992-10-31,"Asia","Southern Asia",1,0,0,32,32
1992-10-31,"Asia","Western Asia",5,9096,38,519,9653
1992-10-31,"Europe","Southern Europe",1,14095,610,251,14956
1992-10-31,"South America","Central America",1,8,308,227,543
1992-11-30,"Africa","Eastern Africa",1,516,0,50,566
1992-11-30,"Africa","Middle Africa",1,11,66,201,278
1992-11-30,"Africa","Northern Africa",1,114,0,218,332
1992-11-30,"Asia","South-Eastern Asia",1,14005,3162,435,17602
1992-11-30,"Asia","Southern Asia",1,0,0,31,31
1992-11-30,"Asia","Western Asia",5,9027,38,524,9589
1992-11-30,"Europe","Southern Europe",1,21084,617,362,22063
1992-11-30,"South America","Central America",1,7,303,220,530
1992-12-31,"Africa","Eastern Africa",1,601,0,54,655
1992-12-31,"Africa","Middle Africa",1,14,87,204,305
1992-12-31,"Africa","Northern Africa",1,103,0,226,329
1992-12-31,"Asia","South-Eastern Asia",1,15087,3352,468,18907
1992-12-31,"Asia","Southern Asia",1,0,0,38,38
1992-12-31,"Asia","Western Asia",5,8173,38,517,8728
1992-12-31,"Europe","Southern Europe",1,21790,624,341,22755
1992-12-31,"South America","Central America",1,7,312,218,537
1993-01-31,"Africa","Eastern Africa",2,643,0,81,724
1993-01-31,"Africa","Middle Africa",1,14,39,171,224
1993-01-31,"Africa","Northern Africa",1,119,6,206,331
1993-01-31,"Asia","South-Eastern Asia",1,13628,4230,465,18323
1993-01-31,"Asia","Southern Asia",1,0,0,38,38
1993-01-31,"Asia","Western Asia",5,7976,20,508,8504
1993-01-31,"Europe","Southern Europe",1,21285,622,774,22681
1993-01-31,"South America","Central America",1,942,298,130,1370
1993-02-28,"Africa","Eastern Africa",2,941,19,174,1134
1993-02-28,"Africa","Middle Africa",1,7,29,75,111
1993-02-28,"Africa","Northern Africa",1,118,6,197,321
1993-02-28,"Asia","South-Eastern Asia",1,13689,4232,454,18375
1993-02-28,"Asia","Southern Asia",1,0,0,38,38
1993-02-28,"Asia","Western Asia",5,7976,20,498,8494
1993-02-28,"Europe","Southern Europe",1,22156,601,772,23529
1993-02-28,"South America","Central America",1,942,294,105,1341
1993-03-31,"Africa","Eastern Africa",2,1948,44,135,2127
1993-03-31,"Africa","Middle Africa",1,7,30,68,105
1993-03-31,"Africa","Northern Africa",1,128,6,192,326
1993-03-31,"Asia","South-Eastern Asia",1,13457,4225,461,18143
1993-03-31,"Asia","Southern Asia",1,0,0,38,38
1993-03-31,"Asia","Western Asia",5,7917,21,484,8422
1993-03-31,"Europe","Southern Europe",1,22156,621,772,23549
1993-03-31,"South America","Central America",1,943,286,105,1334
1993-04-30,"Africa","Eastern Africa",2,3872,468,173,4513
1993-04-30,"Africa","Middle Africa",1,7,30,68,105
1993-04-30,"Africa","Northern Africa",1,117,0,203,320
1993-04-30,"Asia","South-Eastern Asia",1,13631,4198,459,18288
1993-04-30,"Asia","Southern Asia",1,0,0,38,38
1993-04-30,"Asia","Western Asia",5,8051,19,480,8550
1993-04-30,"Europe","Southern Europe",1,22855,621,787,24263
1993-04-30,"South America","Central America",1,940,288,91,1319
1993-05-31,"Africa","Eastern Africa",2,21371,24,186,21581
1993-05-31,"Africa","Middle Africa",1,0,28,83,111
1993-05-31,"Africa","Northern Africa",1,120,0,193,313
1993-05-31,"Asia","South-Eastern Asia",1,14012,4192,444,18648
1993-05-31,"Asia","Southern Asia",1,0,0,38,38
1993-05-31,"Asia","Western Asia",5,7957,20,473,8450
1993-05-31,"Europe","Southern Europe",1,22819,621,755,24195
1993-05-31,"South America","Central America",1,937,302,79,1318
1993-06-30,"Africa","Eastern Africa",3,25923,20,260,26203
1993-06-30,"Africa","Middle Africa",1,0,18,59,77
1993-06-30,"Africa","Northern Africa",1,126,20,205,351
1993-06-30,"Asia","South-Eastern Asia",1,13507,3760,440,17707
1993-06-30,"Asia","Southern Asia",1,0,0,38,38
1993-06-30,"Asia","Western Asia",5,7526,20,467,8013
1993-06-30,"Europe","Southern Europe",1,22706,649,758,24113
1993-06-30,"South America","Central America",1,933,312,49,1294
1993-07-31,"Africa","Eastern Africa",3,23965,254,211,24430
1993-07-31,"Africa","Middle Africa",1,11,17,56,84
1993-07-31,"Africa","Northern Africa",1,121,20,206,347
1993-07-31,"Asia","South-Eastern Asia",1,13980,4111,460,18551
1993-07-31,"Asia","Southern Asia",1,0,0,38,38
1993-07-31,"Asia","Western Asia",5,7530,20,475,8025
1993-07-31,"Europe","Southern Europe",1,23452,618,830,24900
1993-07-31,"South America","Central America",1,923,315,44,1282
1993-08-31,"Africa","Eastern Africa",3,28380,256,261,28897
1993-08-31,"Africa","Middle Africa",1,10,16,54,80
1993-08-31,"Africa","Northern Africa",1,117,20,207,344
1993-08-31,"Asia","South-Eastern Asia",1,10493,1739,412,12644
1993-08-31,"Asia","Southern Asia",1,0,0,38,38
1993-08-31,"Asia","Western Asia",5,7452,19,474,7945
1993-08-31,"Europe","Southern Europe",1,23405,598,817,24820
1993-08-31,"South America","Central America",1,77,325,40,442
1993-09-30,"Africa","Eastern Africa",3,31811,256,364,32431
1993-09-30,"Africa","Middle Africa",1,11,14,50,75
1993-09-30,"Africa","Northern Africa",1,119,20,204,343
1993-09-30,"Africa","Western Africa",1,0,0,28,28
1993-09-30,"Asia","South-Eastern Asia",1,8234,726,290,9250
1993-09-30,"Asia","Southern Asia",1,0,0,39,39
1993-09-30,"Asia","Western Asia",6,7444,22,483,7949
1993-09-30,"Europe","Southern Europe",1,24044,641,927,25612
1993-09-30,"South America","Central America",1,68,326,37,431
1993-10-31,"Africa","Eastern Africa",4,35201,20,364,35585
1993-10-31,"Africa","Middle Africa",1,11,14,51,76
1993-10-31,"Africa","Northern Africa",1,112,20,214,346
1993-10-31,"Africa","Western Africa",1,19,0,106,125
1993-10-31,"Asia","South-Eastern Asia",1,3392,19,53,3464
1993-10-31,"Asia","Southern Asia",1,0,0,38,38
1993-10-31,"Asia","Western Asia",6,7695,35,476,8206
1993-10-31,"Europe","Southern Europe",1,25259,653,963,26875
1993-10-31,"South America","Central America",1,28,278,32,338
1993-11-30,"Africa","Eastern Africa",4,35935,20,430,36385
1993-11-30,"Africa","Middle Africa",1,11,19,57,87
1993-11-30,"Africa","Northern Africa",1,112,21,213,346
1993-11-30,"Africa","Western Africa",1,19,0,129,148
1993-11-30,"Asia","Southern Asia",1,0,0,38,38
1993-11-30,"Asia","Western Asia",6,7982,36,477,8495
1993-11-30,"Europe","Southern Europe",1,24638,674,973,26285
1993-11-30,"South America","Central America",1,25,276,32,333
1993-12-31,"Africa","Eastern Africa",4,33006,23,529,33558
1993-12-31,"Africa","Middle Africa",1,14,23,52,89
1993-12-31,"Africa","Northern Africa",1,112,16,214,342
1993-12-31,"Africa","Western Africa",1,65,0,257,322
1993-12-31,"Asia","Southern Asia",1,0,0,39,39
1993-12-31,"Asia","Western Asia",6,7815,35,475,8325
1993-12-31,"Europe","Southern Europe",1,25692,675,579,26946
1993-12-31,"South America","Central America",1,4,276,30,310
1994-01-31,"Africa","Eastern Africa",4,31284,127,605,32016
1994-01-31,"Africa","Middle Africa",1,11,21,51,83
1994-01-31,"Africa","Northern Africa",1,111,21,210,342
1994-01-31,"Africa","Western Africa",1,65,0,299,364
1994-01-31,"Asia","Southern Asia",1,0,0,39,39
1994-01-31,"Asia","Western Asia",6,8347,33,497,8877
1994-01-31,"Europe","Southern Europe",1,27107,675,579,28361
1994-01-31,"South America","Central America",1,4,274,30,308
1994-02-28,"Africa","Eastern Africa",4,30453,188,622,31263
1994-02-28,"Africa","Middle Africa",1,12,20,55,87
1994-02-28,"Africa","Northern Africa",1,111,21,205,337
1994-02-28,"Africa","Western Africa",1,65,0,309,374
1994-02-28,"Asia","Southern Asia",1,0,0,39,39
1994-02-28,"Asia","Western Asia",6,8391,35,497,8923
1994-02-28,"Europe","Southern Europe",1,29249,675,581,30505
1994-02-28,"South America","Central America",1,4,276,30,310
1994-03-31,"Africa","Eastern Africa",4,26625,279,695,27599
1994-03-31,"Africa","Middle Africa",1,11,17,55,83
1994-03-31,"Africa","Northern Africa",1,115,21,215,351
1994-03-31,"Africa","Western Africa",1,65,0,309,374
1994-03-31,"Asia","Southern Asia",1,0,0,39,39
1994-03-31,"Asia","Western Asia",6,8427,35,494,8956
1994-03-31,"Europe","Southern Europe",1,30889,675,578,32142
1994-03-31,"South America","Central America",1,4,270,28,302
1994-04-30,"Africa","Eastern Africa",4,25312,293,656,26261
1994-04-30,"Africa","Middle Africa",1,11,17,56,84
1994-04-30,"Africa","Northern Africa",1,108,21,213,342
1994-04-30,"Africa","Western Africa",1,65,0,305,370
1994-04-30,"Asia","Southern Asia",1,0,0,39,39
1994-04-30,"Asia","Western Asia",6,8439,40,489,8968
1994-04-30,"Europe","Southern Europe",1,33298,664,593,34555
1994-04-30,"South America","Central America",1,4,272,27,303
1994-05-31,"Africa","Eastern Africa",4,24461,540,633,25634
1994-05-31,"Africa","Middle Africa",1,11,15,57,83
1994-05-31,"Africa","Northern Africa",1,108,21,221,350
1994-05-31,"Africa","Western Africa",1,65,0,305,370
1994-05-31,"Asia","Southern Asia",1,0,0,40,40
1994-05-31,"Asia","Western Asia",6,8338,34,493,8865
1994-05-31,"Europe","Southern Europe",1,33704,671,565,34940
1994-05-31,"South America","Central America",1,4,220,26,250
1994-06-30,"Africa","Eastern Africa",4,23780,834,702,25316
1994-06-30,"Africa","Middle Africa",1,11,38,91,140
1994-06-30,"Africa","Northern Africa",1,19,62,226,307
