"date","mission.continent","n.missions","troops","police","observers","total"
1994-01-31,"Europe",1,27107,675,579,28361
1994-01-31,"South America",1,4,274,30,308
1994-02-28,"Africa",7,30641,229,1191,32061
1994-02-28,"Asia",7,8391,35,536,8962
1994-02-28,"Europe",1,29249,675,581,30505
1994-02-28,"South America",1,4,276,30,310
1994-03-31,"Africa",7,26816,317,1274,28407
1994-03-31,"Asia",7,8427,35,533,8995
1994-03-31,"Europe",1,30889,675,578,32142
1994-03-31,"South America",1,4,270,28,302
1994-04-30,"Africa",7,25496,331,1230,27057
1994-04-30,"Asia",7,8439,40,528,9007
1994-04-30,"Europe",1,33298,664,593,34555
1994-04-30,"South America",1,4,272,27,303
1994-05-31,"Africa",7,24645,576,1216,26437
1994-05-31,"Asia",7,8338,34,533,8905
1994-05-31,"Europe",1,33704,671,565,34940
1994-05-31,"South America",1,4,220,26,250
1994-06-30,"Africa",7,23875,934,1322,26131
1994-06-30,"Asia",7,8404,34,505,8943
1994-06-30,"Europe",1,35135,634,596,36365
1994-06-30,"South America",1,4,153,40,197
1994-07-31,"Africa",7,24214,1051,1181,26446
1994-07-31,"Asia",7,8319,34,536,8889
1994-07-31,"Europe",1,36430,674,622,37726
1994-07-31,"South America",1,4,172,39,215
1994-08-31,"Africa",7,26530,1010,1262,28802
1994-08-31,"Asia",7,8365,35,541,8941
1994-08-31,"Europe",1,37442,644,623,38709
1994-08-31,"South America",1,2,170,35,207
1994-09-30,"Africa",6,27370,1198,1351,29919
1994-09-30,"Asia",7,8365,35,559,8959
1994-09-30,"Europe",1,38318,938,637,39893
1994-09-30,"South America",2,2,152,21,175
1994-10-31,"Africa",6,25089,1280,1161,27530
1994-10-31,"Asia",7,8242,21,595,8858
1994-10-31,"Europe",1,38223,962,603,39788
1994-10-31,"South America",2,8,165,25,198
1994-11-30,"Africa",6,24784,1123,1027,26934
1994-11-30,"Asia",7,8294,48,607,8949
1994-11-30,"Europe",1,37855,976,710,39541
1994-11-30,"South America",2,8,50,17,75
1994-12-31,"Africa",6,19266,1123,1047,21436
1994-12-31,"Asia",8,8229,35,630,8894
1994-12-31,"Europe",1,38306,764,719,39789
1994-12-31,"South America",2,16,71,19,106
1995-01-31,"Africa",5,14460,271,927,15658
1995-01-31,"Asia",8,8229,34,635,8898
1995-01-31,"Europe",1,38181,775,694,39650
1995-01-31,"South America",2,18,71,23,112
1995-02-28,"Africa",4,7277,304,1026,8607
1995-02-28,"Asia",8,8229,34,651,8914
1995-02-28,"Europe",1,38217,773,716,39706
1995-02-28,"South America",2,354,180,23,557
1995-03-31,"Africa",4,6409,326,920,7655
1995-03-31,"Asia",8,8052,34,653,8739
1995-03-31,"Europe",1,37521,732,677,38930
1995-03-31,"South America",2,5668,747,22,6437
1995-04-30,"Africa",4,5698,314,927,6939
1995-04-30,"Asia",8,8005,35,665,8705
1995-04-30,"Europe",3,37958,726,676,39360
1995-04-30,"South America",2,5970,812,9,6791
1995-05-31,"Africa",4,8496,392,945,9833
1995-05-31,"Asia",8,8019,135,677,8831
1995-05-31,"Europe",3,38260,619,667,39546
1995-05-31,"South America",1,6091,774,0,6865
1995-06-30,"Africa",4,8741,391,943,10075
1995-06-30,"Asia",8,8022,133,674,8829
1995-06-30,"Europe",3,39671,571,658,40900
1995-06-30,"South America",1,6043,750,0,6793
1995-07-31,"Africa",4,6874,379,937,8190
1995-07-31,"Asia",8,8039,133,677,8849
1995-07-31,"Europe",3,42490,511,674,43675
1995-07-31,"South America",1,5834,743,0,6577
1995-08-31,"Africa",4,6010,384,936,7330
1995-08-31,"Asia",8,8051,132,666,8849
1995-08-31,"Europe",3,44953,473,638,46064
1995-08-31,"South America",1,5912,735,0,6647
1995-09-30,"Africa",4,6245,416,903,7564
1995-09-30,"Asia",8,8036,80,670,8786
1995-09-30,"Europe",3,38301,501,645,39447
1995-09-30,"South America",1,5963,738,0,6701
1995-10-31,"Africa",4,7482,426,911,8819
1995-10-31,"Asia",8,7841,80,673,8594
1995-10-31,"Europe",3,34926,431,610,35967
1995-10-31,"South America",1,5957,732,0,6689
1995-11-30,"Africa",4,7478,427,915,8820
1995-11-30,"Asia",8,7840,79,668,8587
1995-11-30,"Europe",3,28720,357,524,29601
1995-11-30,"South America",1,5795,405,0,6200
1995-12-31,"Africa",4,7670,369,879,8918
1995-12-31,"Asia",8,7814,80,656,8550
1995-12-31,"Europe",3,6847,280,472,7599
1995-12-31,"South America",1,5665,369,0,6034
1996-01-31,"Africa",4,7616,328,827,8771
1996-01-31,"Asia",8,7841,35,655,8531
1996-01-31,"Europe",6,6014,419,268,6701
1996-01-31,"South America",1,4778,369,0,5147
1996-02-29,"Africa",4,7262,344,824,8430
1996-02-29,"Asia",8,7784,35,651,8470
1996-02-29,"Europe",6,4242,668,171,5081
1996-02-29,"South America",1,4100,298,0,4398
1996-03-31,"Africa",4,7301,297,688,8286
1996-03-31,"Asia",8,7722,43,639,8404
1996-03-31,"Europe",5,4493,1412,164,6069
1996-03-31,"South America",1,2502,197,0,2699
1996-04-30,"Africa",3,6682,278,612,7572
1996-04-30,"Asia",8,7767,35,638,8440
1996-04-30,"Europe",5,5741,1630,162,7533
1996-04-30,"South America",1,1858,255,0,2113
1996-05-31,"Africa",3,6764,279,590,7633
1996-05-31,"Asia",8,7682,35,638,8355
1996-05-31,"Europe",5,6495,1986,161,8642
1996-05-31,"South America",1,1831,292,0,2123
1996-06-30,"Africa",3,6761,279,605,7645
1996-06-30,"Asia",8,7626,35,626,8287
1996-06-30,"Europe",5,6155,2075,162,8392
1996-06-30,"South America",1,1831,244,0,2075
1996-07-31,"Africa",3,6440,280,641,7361
1996-07-31,"Asia",8,7400,33,621,8054
1996-07-31,"Europe",5,5762,2117,214,8093
1996-07-31,"South America",1,1267,272,0,1539
1996-08-31,"Africa",3,6718,272,572,7562
1996-08-31,"Asia",8,7634,33,589,8256
1996-08-31,"Europe",5,5983,2187,160,8330
1996-08-31,"South America",1,1217,271,0,1488
1996-09-30,"Africa",3,6695,252,567,7514
1996-09-30,"Asia",8,7672,33,588,8293
1996-09-30,"Europe",5,5850,2151,160,8161
1996-09-30,"South America",1,1272,270,0,1542
1996-10-31,"Africa",3,6689,246,571,7506
1996-10-31,"Asia",8,7613,35,582,8230
1996-10-31,"Europe",5,6094,2200,154,8448
1996-10-31,"South America",1,1300,286,0,1586
1996-11-30,"Africa",3,6691,255,588,7534
1996-11-30,"Asia",8,7650,35,584,8269
1996-11-30,"Europe",5,5927,2194,160,8281
1996-11-30,"South America",1,1297,291,2,1590
1996-12-31,"Africa",3,6031,254,618,6903
1996-12-31,"Asia",8,7618,35,572,8225
1996-12-31,"Europe",5,5882,2192,163,8237
1996-12-31,"South America",1,1282,267,6,1555
1997-01-31,"Africa",3,6041,281,660,6982
1997-01-31,"Asia",8,7621,35,555,8211
1997-01-31,"Europe",5,5875,2173,163,8211
1997-01-31,"South America",1,1290,270,6,1566
1997-02-28,"Africa",3,5364,259,628,6251
1997-02-28,"Asia",8,7631,35,551,8217
1997-02-28,"Europe",5,5795,2021,163,7979
1997-02-28,"South America",2,1292,304,155,1751
1997-03-31,"Africa",3,4975,271,682,5928
1997-03-31,"Asia",8,7558,35,552,8145
1997-03-31,"Europe",5,5862,2022,163,8047
1997-03-31,"South America",2,1281,308,148,1737
1997-04-30,"Africa",3,4702,268,615,5585
1997-04-30,"Asia",8,7666,35,530,8231
1997-04-30,"Europe",6,5994,2180,163,8337
1997-04-30,"South America",2,1296,295,151,1742
1997-05-31,"Africa",3,4469,281,582,5332
1997-05-31,"Asia",8,7680,35,535,8250
1997-05-31,"Europe",6,5499,2219,163,7881
1997-05-31,"South America",1,1295,250,6,1551
1997-06-30,"Africa",3,3683,297,576,4556
1997-06-30,"Asia",8,7623,35,543,8201
1997-06-30,"Europe",5,5625,2370,162,8157
1997-06-30,"South America",1,1296,227,6,1529
1997-07-31,"Africa",3,3060,291,529,3880
1997-07-31,"Asia",8,7642,35,552,8229
1997-07-31,"Europe",5,4344,2409,161,6914
1997-07-31,"South America",1,1287,222,6,1515
1997-08-31,"Africa",3,2637,317,458,3412
1997-08-31,"Asia",8,7650,35,556,8241
1997-08-31,"Europe",5,3530,2461,162,6153
1997-08-31,"South America",1,1179,226,1,1406
1997-09-30,"Africa",2,2503,310,438,3251
1997-09-30,"Asia",8,7627,35,557,8219
1997-09-30,"Europe",5,3425,2390,156,5971
1997-09-30,"South America",1,1136,241,0,1377
1997-10-31,"Africa",2,2489,344,423,3256
1997-10-31,"Asia",8,7766,35,549,8350
1997-10-31,"Europe",5,2756,2407,157,5320
1997-10-31,"South America",1,1170,230,0,1400
1997-11-30,"Africa",2,2246,357,421,3024
1997-11-30,"Asia",8,7607,37,543,8187
1997-11-30,"Europe",5,1647,2472,163,4282
1997-11-30,"South America",1,1193,156,0,1349
1997-12-31,"Africa",2,1579,429,364,2372
1997-12-31,"Asia",8,7626,35,556,8217
1997-12-31,"Europe",4,1467,2387,159,4013
1997-12-31,"South America",2,0,286,0,286
1998-01-31,"Africa",2,1223,419,317,1959
1998-01-31,"Asia",8,7645,35,553,8233
1998-01-31,"Europe",4,491,2161,71,2723
1998-01-31,"South America",2,0,286,0,286
1998-02-28,"Africa",2,926,425,304,1655
1998-02-28,"Asia",8,7658,35,560,8253
1998-02-28,"Europe",4,890,2258,66,3214
1998-02-28,"South America",2,0,293,0,293
1998-03-31,"Africa",2,966,416,289,1671
1998-03-31,"Asia",8,7683,34,554,8271
1998-03-31,"Europe",4,783,2170,66,3019
1998-03-31,"South America",2,0,287,0,287
1998-04-30,"Africa",3,2291,432,294,3017
1998-04-30,"Asia",8,7681,35,552,8268
1998-04-30,"Europe",4,786,2122,66,2974
1998-04-30,"South America",1,0,286,0,286
1998-05-31,"Africa",3,2313,429,288,3030
1998-05-31,"Asia",8,7647,35,555,8237
1998-05-31,"Europe",4,788,2163,66,3017
1998-05-31,"South America",1,0,292,0,292
1998-06-30,"Africa",3,2332,501,290,3123
1998-06-30,"Asia",8,7682,35,566,8283
1998-06-30,"Europe",4,782,2148,67,2997
1998-06-30,"South America",1,0,291,0,291
1998-07-31,"Africa",4,2376,500,298,3174
1998-07-31,"Asia",8,7654,36,557,8247
1998-07-31,"Europe",4,773,2163,65,3001
1998-07-31,"South America",1,0,294,0,294
1998-08-31,"Africa",4,2388,483,309,3180
1998-08-31,"Asia",8,7644,37,545,8226
1998-08-31,"Europe",4,812,2145,66,3023
1998-08-31,"South America",1,0,291,0,291
1998-09-30,"Africa",4,2370,478,325,3173
1998-09-30,"Asia",8,7627,35,531,8193
1998-09-30,"Europe",4,859,2111,66,3036
1998-09-30,"South America",1,0,281,0,281
1998-10-31,"Africa",4,2281,461,329,3071
1998-10-31,"Asia",8,7469,35,519,8023
1998-10-31,"Europe",4,840,2006,63,2909
1998-10-31,"South America",1,0,286,0,286
1998-11-30,"Africa",4,2258,407,331,2996
1998-11-30,"Asia",8,7722,37,528,8287
1998-11-30,"Europe",3,849,1999,61,2909
1998-11-30,"South America",1,0,284,0,284
1998-12-31,"Africa",4,2258,407,331,2996
1998-12-31,"Asia",8,7722,37,528,8287
1998-12-31,"Europe",3,849,1999,61,2909
1998-12-31,"South America",1,0,284,0,284
1999-01-31,"Africa",4,1999,203,266,2468
1999-01-31,"Asia",8,7656,37,517,8210
1999-01-31,"Europe",3,1049,1956,64,3069
1999-01-31,"South America",1,0,283,0,283
1999-02-28,"Africa",4,1835,146,234,2215
1999-02-28,"Asia",8,7516,38,504,8058
1999-02-28,"Europe",3,1048,2069,49,3166
