"date","mission","mission.country","mission.iso3.alpha","mission.hq","mission.hq.long","mission.hq.lat","mission.continent","mission.un.region","mission.nam","mission.g77","mission.au","mission.arab.league","mission.oic","mission.cis","mission.g20","mission.eu","n.contributors","troops","police","observers","total"
1993-04-30,"UNPROFOR","Croatia","HRV","Zagreb",15.9833,45.8167,"Europe","Southern Europe",NA,NA,NA,NA,NA,NA,NA,NA,33,22855,621,787,24263
1993-04-30,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,234,234
1993-04-30,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,1497,19,8,1524
1993-04-30,"UNOSOM","Somalia","SOM","Mogadishu",45.35,2.0333,"Africa","Eastern Africa","1","1","1","1","1",NA,NA,NA,6,893,NA,NA,893
1993-04-30,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1129,NA,NA,1129
1993-04-30,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,NA,NA,38,38
1993-04-30,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,10,5347,NA,NA,5347
1993-05-31,"UNTAC","Cambodia","KHM","Phnom Penh",104.917,11.55,"Asia","South-Eastern Asia","1","1",NA,NA,NA,NA,NA,NA,44,14012,4192,444,18648
1993-05-31,"MINURSO","Western Sahara","ESH","Laayoune",-13.2033,27.1536,"Africa","Northern Africa",NA,NA,"1",NA,NA,NA,NA,NA,26,120,NA,193,313
1993-05-31,"ONUMOZ","Mozambique","MOZ","Maputo",32.5833,-25.9667,"Africa","Eastern Africa","1","1","1",NA,"1",NA,NA,NA,18,5914,24,186,6124
1993-05-31,"ONUSAL","El Salvador","SLV","San Salvador",-89.19,13.69,"South America","Central America",NA,"1",NA,NA,NA,NA,NA,NA,17,937,302,79,1318
1993-05-31,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,17,NA,28,83,111
1993-05-31,"UNIKOM","Iraq","IRQ","Umm Qasr",47.9294,30.0342,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,32,73,NA,241,314
1993-05-31,"UNPROFOR","Croatia","HRV","Zagreb",15.9833,45.8167,"Europe","Southern Europe",NA,NA,NA,NA,NA,NA,NA,NA,34,22819,621,755,24195
1993-05-31,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,224,224
1993-05-31,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,1491,20,8,1519
1993-05-31,"UNOSOM","Somalia","SOM","Mogadishu",45.35,2.0333,"Africa","Eastern Africa","1","1","1","1","1",NA,NA,NA,20,15457,NA,NA,15457
1993-05-31,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1116,NA,NA,1116
1993-05-31,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,NA,NA,38,38
1993-05-31,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,10,5277,NA,NA,5277
1993-06-30,"UNTAC","Cambodia","KHM","Phnom Penh",104.917,11.55,"Asia","South-Eastern Asia","1","1",NA,NA,NA,NA,NA,NA,44,13507,3760,440,17707
1993-06-30,"MINURSO","Western Sahara","ESH","Laayoune",-13.2033,27.1536,"Africa","Northern Africa",NA,NA,"1",NA,NA,NA,NA,NA,27,126,20,205,351
1993-06-30,"ONUMOZ","Mozambique","MOZ","Maputo",32.5833,-25.9667,"Africa","Eastern Africa","1","1","1",NA,"1",NA,NA,NA,20,6255,20,257,6532
1993-06-30,"ONUSAL","El Salvador","SLV","San Salvador",-89.19,13.69,"South America","Central America",NA,"1",NA,NA,NA,NA,NA,NA,17,933,312,49,1294
1993-06-30,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,18,NA,18,59,77
