"date","tcc.continent","n.contributors","troops","police","observers","total"
1992-09-30,"South America",11,1940,413,213,2566
1992-10-31,"Africa",12,5520,1137,310,6967
1992-10-31,"Asia",13,9762,1657,334,11753
1992-10-31,"Europe",24,17134,938,978,19050
1992-10-31,"North America",2,2174,45,183,2402
1992-10-31,"Oceania",3,1407,80,48,1535
1992-10-31,"South America",10,1934,395,192,2521
1992-11-30,"Africa",12,5480,1131,304,6915
1992-11-30,"Asia",13,9777,1657,338,11772
1992-11-30,"Europe",23,22780,878,989,24647
1992-11-30,"North America",2,3461,45,170,3676
1992-11-30,"Oceania",3,1369,80,47,1496
1992-11-30,"South America",10,1897,395,193,2485
1992-12-31,"Africa",12,5469,1143,300,6912
1992-12-31,"Asia",13,10824,1847,343,13014
1992-12-31,"Europe",23,22780,893,1008,24681
1992-12-31,"North America",2,3516,45,160,3721
1992-12-31,"Oceania",3,1286,80,45,1411
1992-12-31,"South America",10,1900,405,210,2515
1993-01-31,"Africa",13,4864,972,221,6057
1993-01-31,"Asia",14,10092,2708,356,13156
1993-01-31,"Europe",25,22830,1023,1366,25219
1993-01-31,"North America",2,3561,45,178,3784
1993-01-31,"Oceania",3,1349,80,43,1472
1993-01-31,"South America",10,1911,387,209,2507
1993-02-28,"Africa",16,4846,966,218,6030
1993-02-28,"Asia",14,10447,2714,365,13526
1993-02-28,"Europe",24,23774,1009,1318,26101
1993-02-28,"North America",2,3510,47,177,3734
1993-02-28,"Oceania",3,1347,83,43,1473
1993-02-28,"South America",10,1905,382,192,2479
1993-03-31,"Africa",16,4856,994,203,6053
1993-03-31,"Asia",14,10516,2708,374,13598
1993-03-31,"Europe",24,24583,1022,1283,26888
1993-03-31,"North America",2,3496,45,172,3713
1993-03-31,"Oceania",3,1190,82,37,1309
1993-03-31,"South America",10,1915,382,186,2483
1993-04-30,"Africa",16,5576,1413,222,7211
1993-04-30,"Asia",14,10647,2697,366,13710
1993-04-30,"Europe",25,25527,1005,1308,27840
1993-04-30,"North America",2,3580,47,177,3804
1993-04-30,"Oceania",3,1379,80,32,1491
1993-04-30,"South America",10,2764,382,194,3340
1993-05-31,"Africa",16,8988,969,223,10180
1993-05-31,"Asia",15,17603,2685,382,20670
1993-05-31,"Europe",25,30257,1012,1261,32530
1993-05-31,"North America",2,6158,47,159,6364
1993-05-31,"Oceania",3,1441,81,36,1558
1993-05-31,"South America",10,2769,393,190,3352
1993-06-30,"Africa",16,9379,982,225,10586
1993-06-30,"Asia",17,19220,2418,382,22020
1993-06-30,"Europe",25,32133,871,1299,34303
1993-06-30,"North America",2,5894,47,163,6104
1993-06-30,"Oceania",3,1311,81,37,1429
1993-06-30,"South America",10,2784,400,170,3354
1993-07-31,"Africa",16,8935,924,221,10080
1993-07-31,"Asia",16,18085,2675,401,21161
1993-07-31,"Europe",25,32579,1226,1326,35131
1993-07-31,"North America",2,6049,46,165,6260
1993-07-31,"Oceania",3,1552,81,37,1670
1993-07-31,"South America",10,2782,403,170,3355
1993-08-31,"Africa",16,8472,234,237,8943
1993-08-31,"Asia",16,18974,1489,356,20819
1993-08-31,"Europe",24,33286,925,1315,35526
1993-08-31,"North America",2,5947,46,170,6163
1993-08-31,"Oceania",3,1312,33,37,1382
1993-08-31,"South America",10,1943,246,188,2377
1993-09-30,"Africa",16,8504,129,272,8905
1993-09-30,"Asia",17,20875,868,430,22173
1993-09-30,"Europe",24,33233,683,1329,35245
1993-09-30,"North America",2,5798,46,158,6002
1993-09-30,"Oceania",3,1308,26,37,1371
1993-09-30,"South America",10,2013,253,196,2462
1993-10-31,"Africa",15,7762,140,267,8169
1993-10-31,"Asia",17,21846,163,417,22426
1993-10-31,"Europe",24,32344,463,1252,34059
1993-10-31,"North America",2,6526,45,132,6703
1993-10-31,"Oceania",3,971,24,37,1032
1993-10-31,"South America",10,2268,204,192,2664
1993-11-30,"Africa",14,8866,132,327,9325
1993-11-30,"Asia",16,20208,160,436,20804
1993-11-30,"Europe",23,30299,481,1235,32015
1993-11-30,"North America",2,6304,44,125,6473
1993-11-30,"Oceania",3,786,21,41,848
1993-11-30,"South America",10,2259,208,185,2652
1993-12-31,"Africa",15,9003,133,363,9499
1993-12-31,"Asia",16,21789,163,529,22481
1993-12-31,"Europe",23,28356,476,873,29705
1993-12-31,"North America",2,4538,46,126,4710
1993-12-31,"Oceania",3,787,20,42,849
1993-12-31,"South America",10,2235,210,242,2687
1994-01-31,"Africa",16,8969,123,440,9532
1994-01-31,"Asia",16,22013,223,568,22804
1994-01-31,"Europe",23,28728,504,914,30146
1994-01-31,"North America",2,4209,46,123,4378
1994-01-31,"Oceania",3,777,20,42,839
1994-01-31,"South America",10,2233,235,223,2691
1994-02-28,"Africa",16,9311,142,473,9926
1994-02-28,"Asia",16,24092,225,598,24915
1994-02-28,"Europe",23,28974,535,879,30388
1994-02-28,"North America",2,2828,46,128,3002
1994-02-28,"Oceania",3,782,20,42,844
1994-02-28,"South America",10,2298,247,218,2763
1994-03-31,"Africa",17,9663,178,479,10320
1994-03-31,"Asia",12,23055,228,610,23893
1994-03-31,"Europe",23,27556,568,904,29028
1994-03-31,"North America",2,2851,46,129,3026
1994-03-31,"Oceania",3,775,36,42,853
1994-03-31,"South America",9,2236,241,249,2726
1994-04-30,"Africa",17,9282,183,476,9941
1994-04-30,"Asia",12,23420,261,589,24270
1994-04-30,"Europe",23,28555,543,913,30011
1994-04-30,"North America",2,2999,45,128,3172
1994-04-30,"Oceania",3,805,36,41,882
1994-04-30,"South America",9,2176,239,231,2646
1994-05-31,"Africa",17,8093,276,460,8829
1994-05-31,"Asia",14,24008,309,557,24874
1994-05-31,"Europe",23,28482,590,897,29969
1994-05-31,"North America",2,3132,45,128,3305
1994-05-31,"Oceania",3,804,36,44,884
1994-05-31,"South America",9,2172,245,254,2671
1994-06-30,"Africa",17,8063,258,492,8813
1994-06-30,"Asia",14,25725,568,628,26921
1994-06-30,"Europe",23,27594,607,929,29130
1994-06-30,"North America",2,3140,46,118,3304
1994-06-30,"Oceania",3,712,37,41,790
1994-06-30,"South America",9,2184,239,255,2678
1994-07-31,"Africa",17,8167,346,438,8951
1994-07-31,"Asia",14,25169,623,634,26426
1994-07-31,"Europe",23,29117,653,915,30685
